M,N,K,Kernel,Threads,PR,PC,SerialTime(s),AvgTime(s),FLOPS,Speedup,Error
1024,1024,3,3,1024,2,2,0.004,0.001,4.599650e+09,2.845420e+00,4.596672e-07
1024,1024,6,3,64,2,2,0.005,0.001,1.374801e+10,5.032791e+00,4.603775e-07
1024,1024,6,3,256,2,2,0.005,0.001,1.088753e+10,3.985643e+00,4.603775e-07
1024,1024,6,3,576,2,2,0.005,0.002,7.186038e+09,2.630623e+00,4.603775e-07
1024,1024,6,3,1024,2,2,0.005,0.002,7.197210e+09,2.634712e+00,4.603775e-07
1024,1024,8,3,64,2,2,0.004,0.001,1.778309e+10,4.120145e+00,4.645238e-07
1024,1024,8,3,256,2,2,0.004,0.001,1.425063e+10,3.301713e+00,4.645238e-07
1024,1024,8,3,576,2,2,0.004,0.002,8.681929e+09,2.011507e+00,4.645238e-07
1024,1024,8,3,1024,2,2,0.004,0.002,8.587421e+09,1.989610e+00,4.645238e-07
1024,1024,20,3,64,2,2,0.010,0.002,2.380821e+10,5.437193e+00,4.517941e-07
1024,1024,20,3,256,2,2,0.010,0.002,1.978568e+10,4.518547e+00,4.517941e-07
1024,1024,20,3,576,2,2,0.010,0.003,1.225902e+10,2.799650e+00,4.517941e-07
1024,1024,20,3,1024,2,2,0.010,0.003,1.225403e+10,2.798509e+00,4.517941e-07
1024,1024,32,3,64,2,2,0.008,0.003,2.575079e+10,3.140025e+00,4.562109e-07
1024,1024,32,3,256,2,2,0.008,0.003,2.106826e+10,2.569043e+00,4.562109e-07
1024,1024,32,3,576,2,2,0.008,0.005,1.391783e+10,1.697127e+00,4.562109e-07
1024,1024,32,3,1024,2,2,0.008,0.005,1.399745e+10,1.706835e+00,4.562109e-07
2048,2048,3,3,64,2,2,0.016,0.001,2.389752e+10,1.478990e+01,6.374970e-07
2048,2048,3,3,256,2,2,0.016,0.001,1.757799e+10,1.087882e+01,6.374970e-07
2048,2048,3,3,576,2,2,0.016,0.003,9.146975e+09,5.660957e+00,6.374970e-07
2048,2048,3,3,1024,2,2,0.016,0.005,5.048107e+09,3.124215e+00,6.374970e-07
2048,2048,6,3,64,2,2,0.018,0.002,3.293845e+10,1.204128e+01,6.368273e-07
2048,2048,6,3,256,2,2,0.018,0.002,2.443522e+10,8.932759e+00,6.368273e-07
2048,2048,6,3,576,2,2,0.018,0.004,1.422736e+10,5.201082e+00,6.368273e-07
2048,2048,6,3,1024,2,2,0.018,0.006,7.776241e+09,2.842753e+00,6.368273e-07
2048,2048,8,3,64,2,2,0.016,0.002,4.128016e+10,9.568939e+00,6.428184e-07
2048,2048,8,3,256,2,2,0.016,0.002,3.257851e+10,7.551855e+00,6.428184e-07
2048,2048,8,3,576,2,2,0.016,0.004,1.710426e+10,3.964850e+00,6.428184e-07
2048,2048,8,3,1024,2,2,0.016,0.007,9.410233e+09,2.181337e+00,6.428184e-07
2048,2048,20,3,64,2,2,0.024,0.003,5.325895e+10,7.721813e+00,6.365835e-07
2048,2048,20,3,256,2,2,0.024,0.004,4.176738e+10,6.055694e+00,6.365835e-07
2048,2048,20,3,576,2,2,0.024,0.007,2.376458e+10,3.445536e+00,6.365835e-07
2048,2048,20,3,1024,2,2,0.024,0.013,1.304052e+10,1.890696e+00,6.365835e-07
2048,2048,32,3,64,2,2,0.033,0.005,5.758769e+10,7.023995e+00,6.351926e-07
2048,2048,32,3,256,2,2,0.033,0.006,4.327212e+10,5.277919e+00,6.351926e-07
2048,2048,32,3,576,2,2,0.033,0.011,2.539897e+10,3.097924e+00,6.351926e-07
2048,2048,32,3,1024,2,2,0.033,0.019,1.430970e+10,1.745360e+00,6.351926e-07
4096,4096,3,3,64,2,2,0.059,0.002,5.538266e+10,3.260376e+01,8.877693e-07
4096,4096,3,3,256,2,2,0.059,0.002,4.041801e+10,2.379407e+01,8.877693e-07
4096,4096,3,3,576,2,2,0.059,0.005,1.956039e+10,1.151520e+01,8.877693e-07
